FREQ,Frequency,L_MEASURE,Measure,L_REP_CTY,Reporting country,CBS_BANK_TYPE,CBS bank type,CBS_BASIS,CBS reporting basis,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,REM_MATURITY,Remaining maturity,CURR_TYPE_BOOK,Currency type of booking location,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,COLLECTION,Collection Indicator,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,IN,India,,,Q:S:5A:4R:U:C:A:A:TO1:A:IN,254293.950,265810.317,268922.706,280093.677,286914.982,271181.684,258948.462,267646.589,284180.060,284350.136,273261.176,266864.217,261844.897,252128.416,254515.894,259350.708,264535.479,269410.278,278416.030,288473.260,285093.216,280675.286,278732.054
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,IT,Italy,,,Q:S:5A:4R:U:C:A:A:TO1:A:IT,581340.366,617601.920,637640.782,648183.849,687342.692,664949.091,666362.250,657196.930,684783.556,722557.873,692086.272,689488.986,685290.273,729212.771,762911.960,784750.748,778834.642,788739.632,765226.380,744424.136,738062.349,739074.455,685010.852
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,MX,Mexico,,,Q:S:5A:4R:U:C:A:A:TO1:A:MX,320327.330,339877.209,341515.989,321507.607,354025.404,337126.729,350073.859,349418.451,363971.773,374033.510,358940.688,379640.227,338358.526,350686.690,358444.896,395572.823,392354.107,404142.170,385318.578,385556.251,402796.788,401652.222,408136.410
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,NL,Netherlands,,,Q:S:5A:4R:U:C:A:A:TO1:A:NL,507120.052,529983.171,537308.238,537780.147,587755.546,550679.935,547688.966,493352.789,502648.902,509023.840,506530.945,496766.825,512389.744,515156.858,536975.429,538664.241,528119.797,528743.471,539766.140,513031.426,530982.496,479926.298,459204.301
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,SG,Singapore,,,Q:S:5A:4R:U:C:A:A:TO1:A:SG,395665.140,413984.602,427147.210,441909.658,450819.066,439907.574,436677.113,431589.582,459171.852,465068.502,452526.551,474975.606,486236.277,500075.981,504767.285,522628.178,527859.447,529446.583,539049.689,538737.045,592127.933,585244.676,588030.668
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,US,United States,,,Q:S:5A:4R:U:C:A:A:TO1:A:US,5710281.842,5760442.270,5881152.841,5895095.631,6113398.126,6015793.218,6007264.452,6025554.295,6345852.444,6338638.116,6429670.047,6452928.825,7349607.549,6888544.623,6899424.215,6967812.173,7416697.227,7242236.632,7541621.399,7529792.697,7859482.522,7526557.493,7535686.019
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,V,Derivatives,A,Total (all maturities),TO1,All currencies,A,All sectors,3P,All countries excluding residents,,,Q:S:5A:4R:U:C:V:A:TO1:A:3P,2428372.391,2425819.261,2357854.323,2331650.103,2304480.959,2209758.930,2148003.766,2176666.104,2171172.003,2385680.404,2735688.778,2255168.000,3208189.071,2809750.707,2671998.883,2831884.883,2382651.536,2239768.590,2208493.030,2110758.553,2379128.856,2758702.141,3358805.675
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,V,Derivatives,A,Total (all maturities),TO1,All currencies,A,All sectors,AT,Austria,,,Q:S:5A:4R:U:C:V:A:TO1:A:AT,9818.836,9628.947,9339.451,9816.208,9270.509,8540.135,7934.128,7628.723,8446.481,8310.627,11741.564,8946.098,11286.341,10906.200,10970.473,11556.090,9018.897,9172.182,9720.724,9118.500,9745.049,12599.610,14857.167
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,V,Derivatives,A,Total (all maturities),TO1,All currencies,A,All sectors,AU,Australia,,,Q:S:5A:4R:U:C:V:A:TO1:A:AU,36171.306,34936.244,31217.400,31511.985,30835.100,30604.281,27331.082,32818.742,27636.306,31928.324,36590.018,33770.568,60762.243,43240.987,36318.964,43178.490,32900.131,33177.426,29065.628,25633.051,34356.942,43053.363,54364.985
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,V,Derivatives,A,Total (all maturities),TO1,All currencies,A,All sectors,BE,Belgium,,,Q:S:5A:4R:U:C:V:A:TO1:A:BE,37309.276,36972.640,34563.878,30350.540,30405.444,25476.023,24232.692,30423.737,30114.240,28238.097,31097.650,26247.187,28138.066,27214.280,28144.357,29514.183,22756.865,22376.850,20632.757,19559.722,16764.985,15062.071,15519.152
