Measure,CBS_BANK_TYPE,Remaining maturity,Currency type of booking location,Counterparty sector,Counterparty country,Series,Quaterlly_per_year,Amount_stocks_units
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United States,Q:S:5A:4R:U:W:A:A:TO1:A:US,2017-Q1,625995.519
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4R:U:X:A:A:TO1:A:3P,2017-Q1,4624285.666
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4R:U:X:A:A:TO1:A:AT,2017-Q1,21965.729
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4R:U:X:A:A:TO1:A:AU,2017-Q1,78397.635
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Belgium,Q:S:5A:4R:U:X:A:A:TO1:A:BE,2017-Q1,61551.015
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Brazil,Q:S:5A:4R:U:X:A:A:TO1:A:BR,2017-Q1,44836.598
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Canada,Q:S:5A:4R:U:X:A:A:TO1:A:CA,2017-Q1,130207.383
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Switzerland,Q:S:5A:4R:U:X:A:A:TO1:A:CH,2017-Q1,72842.397
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,China,Q:S:5A:4R:U:X:A:A:TO1:A:CN,2017-Q1,57876.021
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Germany,Q:S:5A:4R:U:X:A:A:TO1:A:DE,2017-Q1,239447.883
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Spain,Q:S:5A:4R:U:X:A:A:TO1:A:ES,2017-Q1,45819.242
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United Kingdom,Q:S:5A:4R:U:X:A:A:TO1:A:GB,2017-Q1,861554.368
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Greece,Q:S:5A:4R:U:X:A:A:TO1:A:GR,2017-Q1,2254.393
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,India,Q:S:5A:4R:U:X:A:A:TO1:A:IN,2017-Q1,26073.884
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Italy,Q:S:5A:4R:U:X:A:A:TO1:A:IT,2017-Q1,67650.634
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Mexico,Q:S:5A:4R:U:X:A:A:TO1:A:MX,2017-Q1,47077.265
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Netherlands,Q:S:5A:4R:U:X:A:A:TO1:A:NL,2017-Q1,102516.19
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Singapore,Q:S:5A:4R:U:X:A:A:TO1:A:SG,2017-Q1,46451.129
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United States,Q:S:5A:4R:U:X:A:A:TO1:A:US,2017-Q1,1396211.52
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4R:U:B:A:A:TO1:A:3P,2017-Q2,12337240.711
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4R:U:B:A:A:TO1:A:AT,2017-Q2,86867.378
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4R:U:B:A:A:TO1:A:AU,2017-Q2,240100.472
