Measure,CBS_BANK_TYPE,Remaining maturity,Currency type of booking location,Counterparty sector,Counterparty country,Series,Quaterlly_per_year,Amount_stocks_units
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",United Kingdom,Q:S:5A:4O:F:I:A:A:TO1:B:GB,2017-Q2,566715.103
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Greece,Q:S:5A:4O:F:I:A:A:TO1:B:GR,2017-Q2,17309.451
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",India,Q:S:5A:4O:F:I:A:A:TO1:B:IN,2017-Q2,42326.398
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Italy,Q:S:5A:4O:F:I:A:A:TO1:B:IT,2017-Q2,69735.188
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Mexico,Q:S:5A:4O:F:I:A:A:TO1:B:MX,2017-Q2,9773.481
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Netherlands,Q:S:5A:4O:F:I:A:A:TO1:B:NL,2017-Q2,117716.904
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Singapore,Q:S:5A:4O:F:I:A:A:TO1:B:SG,2017-Q2,75993.422
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",United States,Q:S:5A:4O:F:I:A:A:TO1:B:US,2017-Q2,392745.007
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,All countries excluding residents,Q:S:5A:4O:F:I:A:A:TO1:F:3P,2017-Q2,3445562.56
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Austria,Q:S:5A:4O:F:I:A:A:TO1:F:AT,2017-Q2,7129.589
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Australia,Q:S:5A:4O:F:I:A:A:TO1:F:AU,2017-Q2,32792.031
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Belgium,Q:S:5A:4O:F:I:A:A:TO1:F:BE,2017-Q2,11141.984
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Brazil,Q:S:5A:4O:F:I:A:A:TO1:F:BR,2017-Q2,5130.973
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Canada,Q:S:5A:4O:F:I:A:A:TO1:F:CA,2017-Q2,54729.296
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Switzerland,Q:S:5A:4O:F:I:A:A:TO1:F:CH,2017-Q2,23129.649
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,China,Q:S:5A:4O:F:I:A:A:TO1:F:CN,2017-Q2,45613.82
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Germany,Q:S:5A:4O:F:I:A:A:TO1:F:DE,2017-Q2,73123.287
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Spain,Q:S:5A:4O:F:I:A:A:TO1:F:ES,2017-Q2,29028.632
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,United Kingdom,Q:S:5A:4O:F:I:A:A:TO1:F:GB,2017-Q2,334998.996
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Greece,Q:S:5A:4O:F:I:A:A:TO1:F:GR,2017-Q2,332.715
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,India,Q:S:5A:4O:F:I:A:A:TO1:F:IN,2017-Q2,17023.215
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Italy,Q:S:5A:4O:F:I:A:A:TO1:F:IT,2017-Q2,18891.659
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Mexico,Q:S:5A:4O:F:I:A:A:TO1:F:MX,2017-Q2,9071.076
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Netherlands,Q:S:5A:4O:F:I:A:A:TO1:F:NL,2017-Q2,149614.278
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,Singapore,Q:S:5A:4O:F:I:A:A:TO1:F:SG,2017-Q2,28782.955
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank financial institutions,United States,Q:S:5A:4O:F:I:A:A:TO1:F:US,2017-Q2,596352.666
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,All countries excluding residents,Q:S:5A:4O:F:I:A:A:TO1:O:3P,2017-Q2,3048751.506
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Austria,Q:S:5A:4O:F:I:A:A:TO1:O:AT,2017-Q2,54930.234
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Australia,Q:S:5A:4O:F:I:A:A:TO1:O:AU,2017-Q2,32058.377
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Belgium,Q:S:5A:4O:F:I:A:A:TO1:O:BE,2017-Q2,68297.541
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Brazil,Q:S:5A:4O:F:I:A:A:TO1:O:BR,2017-Q2,31943.035
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Canada,Q:S:5A:4O:F:I:A:A:TO1:O:CA,2017-Q2,45852.441
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Switzerland,Q:S:5A:4O:F:I:A:A:TO1:O:CH,2017-Q2,69272.297
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,China,Q:S:5A:4O:F:I:A:A:TO1:O:CN,2017-Q2,111982.559
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Germany,Q:S:5A:4O:F:I:A:A:TO1:O:DE,2017-Q2,268823.072
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Spain,Q:S:5A:4O:F:I:A:A:TO1:O:ES,2017-Q2,113303.06
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,United Kingdom,Q:S:5A:4O:F:I:A:A:TO1:O:GB,2017-Q2,57866.71
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Greece,Q:S:5A:4O:F:I:A:A:TO1:O:GR,2017-Q2,17671.392
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,India,Q:S:5A:4O:F:I:A:A:TO1:O:IN,2017-Q2,12471.374
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Official sector,Italy,Q:S:5A:4O:F:I:A:A:TO1:O:IT,2017-Q2,165237.237
