Frequency,CURR_DENOM,Currency of denomination,BORROWERS_CTY,Borrowers' country,Borrowers' sector,Lending sector,Type of instruments,UNIT_MEASURE,Unit of measure,Series,Quarterly_per_year,Global_Rate
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2020-Q2,147495.714
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2020-Q2,44562.279
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2020-Q3,12626699.846
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2020-Q3,5027576.842
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2020-Q3,174406.574
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2020-Q3,527187.213
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2020-Q3,124648.29
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2020-Q3,147331.264
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2020-Q3,44168.253
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2020-Q4,12721906.359
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2020-Q4,5034697.135
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2020-Q4,169143.598
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2020-Q4,501033.97
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2020-Q4,122123.924
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2020-Q4,142540.538
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2020-Q4,43680.178
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2021-Q1,13039892.591
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2021-Q1,5211043.995
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2021-Q1,168403.47
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2021-Q1,545273.633
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2021-Q1,127560.947
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2021-Q1,140222.353
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2021-Q1,40723.608
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2021-Q2,13197669.312
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2021-Q2,5286374.068
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2021-Q2,172592.732
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2021-Q2,555144.495
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2021-Q2,128708.981
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2021-Q2,138861.55
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2021-Q2,40536.519
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2021-Q3,13414474.981
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2021-Q3,5387832.067
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2021-Q3,176856.115
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2021-Q3,556985.593
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2021-Q3,132494.13
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2021-Q3,143608.066
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2021-Q3,39459.199
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2021-Q4,13421637.58
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2021-Q4,5398968.749
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2021-Q4,176396.957
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2021-Q4,544828.818
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2021-Q4,131789.861
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2021-Q4,143588.314
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2021-Q4,39346.798
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2022-Q1,13382372.263
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2022-Q1,5406226.592
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2022-Q1,180976.802
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2022-Q1,566546.106
